FeatureID,FeatureName,Group1-Region1 Average,Group1-Region1 Log2 Fold Change,Group1-Region1 P-Value,Group2-Region1 Average,Group2-Region1 Log2 Fold Change,Group2-Region1 P-Value,Group1-Region2 Average,Group1-Region2 Log2 Fold Change,Group1-Region2 P-Value,Group2-Region2 Average,Group2-Region2 Log2 Fold Change,Group2-Region2 P-Value
ExampleGeneEnsembl-33,ExGene33,0.256155524,0.995742608,0.44516067,0.050841876,0.458741457,0.37287032,0.243398779,0.268598744,0.753962907,0.1746742,0.171183129,0.926492774
ExampleGeneEnsembl-34,ExGene34,0.179831663,0.520239553,0.990182282,0.714311947,0.297581362,0.394119135,0.106217863,0.782394576,0.949318913,0.812537324,0.763828772,0.239987905
ExampleGeneEnsembl-35,ExGene35,0.147942793,0.892096945,0.52019554,0.011071919,0.734252813,0.525175374,0.313744186,0.677498413,0.785498125,0.210997364,0.553347494,0.293989113
ExampleGeneEnsembl-36,ExGene36,0.158126675,0.251759313,0.148702449,0.7019272,0.056608711,0.586702679,0.875152143,0.834735029,0.860503203,0.833461013,0.654565397,0.547374
ExampleGeneEnsembl-37,ExGene37,0.134196102,0.65761849,0.299924066,0.857299338,0.844161586,0.314353104,0.491598891,0.738260938,0.673576827,0.901032751,0.820327344,0.853436965
ExampleGeneEnsembl-38,ExGene38,0.887696109,0.958764677,0.787127674,0.097206503,0.080199709,0.167096422,0.618017412,0.65105717,0.969793197,0.179869155,0.943324907,0.140766953
ExampleGeneEnsembl-39,ExGene39,0.150590089,0.607289527,0.090058557,0.840366256,0.516391675,0.072842334,0.588690518,0.339940612,0.366909834,0.529167232,0.822639092,0.629548236
ExampleGeneEnsembl-40,ExGene40,0.058082587,0.189483942,0.636417487,0.727957825,0.558329749,0.904444369,0.954637497,0.904368054,0.215736886,0.819374569,0.191554398,0.255854267
ExampleGeneEnsembl-41,ExGene41,0.965028321,0.558333061,0.03803635,0.98684886,0.11296902,0.683735069,0.293764292,0.080397983,0.39893561,0.692956346,0.703431538,0.912646043
ExampleGeneEnsembl-42,ExGene42,0.541682185,0.218813097,0.073372471,0.719206451,0.989857293,0.642191829,0.692548175,0.737178011,0.646789411,0.882045755,0.014289113,0.805865687
ExampleGeneEnsembl-43,ExGene43,0.228091746,0.273526863,0.839204328,0.834339998,0.119365973,0.249476645,0.426736223,0.178950356,0.69344625,0.821840681,0.695956859,0.690169021
ExampleGeneEnsembl-44,ExGene44,0.995011135,0.031399202,0.260939017,0.72889689,0.406231586,0.160715992,0.651835513,0.186031491,0.93865435,0.630979759,0.532561661,0.179162934
ExampleGeneEnsembl-45,ExGene45,0.778481133,0.289581869,0.31607295,0.498575956,0.176445022,0.202749527,0.053461475,0.085872019,0.317402978,0.266241594,0.577873522,0.933219345
ExampleGeneEnsembl-46,ExGene46,0.472533826,0.352015276,0.950703752,0.402646536,0.429067477,0.691456448,0.505498121,0.28861566,0.627780386,0.463641432,0.608744992,0.733392363
ExampleGeneEnsembl-47,ExGene47,0.715754107,0.160044968,0.394661069,0.751158043,0.259922898,0.231537623,0.836414217,0.231938767,0.276374829,0.234573889,0.918570742,0.359500236
ExampleGeneEnsembl-48,ExGene48,0.888733024,0.179441697,0.459063386,0.752604154,0.813748956,0.238496296,0.130821929,0.115274041,0.976579168,0.936662256,0.947795371,0.063102109
ExampleGeneEnsembl-49,ExGene49,0.551776935,0.084492583,0.61710846,0.487514973,0.083494749,0.673417443,0.613579821,0.61930118,0.375220554,0.523210303,0.500092747,0.697179499
ExampleGeneEnsembl-50,ExGene50,0.742772916,0.730018939,0.031644106,0.467800246,0.432378414,0.129942547,0.730674716,0.581085581,0.079943752,0.026500271,0.538609657,0.492573499
ExampleGeneEnsembl-51,ExGene51,0.43326363,0.389091679,0.262099682,0.594104057,0.265655853,0.922468093,0.577274105,0.305128131,0.562440826,0.381507951,0.025102014,0.730466659
ExampleGeneEnsembl-52,ExGene52,0.737381542,0.616681051,0.823629145,0.790459489,0.783515969,0.69899074,0.147590579,0.738814175,0.577382349,0.027484392,0.897074574,0.417036175
ExampleGeneEnsembl-53,ExGene53,0.579458802,0.005717702,0.357326525,0.403584421,0.360855537,0.197629151,0.199495503,0.538821901,0.932439757,0.263015013,0.965512372,0.333273365
ExampleGeneEnsembl-54,ExGene54,0.105091568,0.47787348,0.451306843,0.743755746,0.130765619,0.264862529,0.014021015,0.392799207,0.098588598,0.600529192,0.010295566,0.034539544
ExampleGeneEnsembl-55,ExGene55,0.010865938,0.035733414,0.045274561,0.605605777,0.340643246,0.276540651,0.939741908,0.020940147,0.493576295,0.969329896,0.764762648,0.770948889
ExampleGeneEnsembl-56,ExGene56,0.195314853,0.307386279,0.230570795,0.862203169,0.474354014,0.622065228,0.390772793,0.974845915,0.13635793,0.256069376,0.102714555,0.285066705
ExampleGeneEnsembl-57,ExGene57,0.94503488,0.399510669,0.808757278,0.342305223,0.522351734,0.946691981,0.853552645,0.801001484,0.941096117,0.795284911,0.390793597,0.662505314
ExampleGeneEnsembl-58,ExGene58,0.088595578,0.487322871,0.909886242,0.354970926,0.123113299,0.199205176,0.035749821,0.037887167,0.086719418,0.707865871,0.330083795,0.921613369
ExampleGeneEnsembl-59,ExGene59,0.816677434,0.073727264,0.204281445,0.784237743,0.430871679,0.770340839,0.325336867,0.89869847,0.638779523,0.909334787,0.029938644,0.4318825
ExampleGeneEnsembl-60,ExGene60,0.439841276,0.634561116,0.390946162,0.992395911,0.74400031,0.393867797,0.893889109,0.969980541,0.486057312,0.92447152,0.565263038,0.86240344
ExampleGeneEnsembl-61,ExGene61,0.95123368,0.088230259,0.628975042,0.43434054,0.943568811,0.85048751,0.489108704,0.435955081,0.245632218,0.844095707,0.862891386,0.233108758
ExampleGeneEnsembl-62,ExGene62,0.926660023,0.71018017,0.111451509,0.032943831,0.005693966,0.049344946,0.089790474,0.159920363,0.357091004,0.138775595,0.643919507,0.42558651
ExampleGeneEnsembl-63,ExGene63,0.702358388,0.979087937,0.740513333,0.27851734,0.290880384,0.54762999,0.459737187,0.036035103,0.381253287,0.264174252,0.147118444,0.086032997
ExampleGeneEnsembl-64,ExGene64,0.586704802,0.577517516,0.021126422,0.959363115,0.323057671,0.342723323,0.41117975,0.616034689,0.276150093,0.087974564,0.688311931,0.600192159
ExampleGeneEnsembl-65,ExGene65,0.452237464,0.886317895,0.189503617,0.320514854,0.153773085,0.280944758,0.89301957,0.748788829,0.180249806,0.606312444,0.89649248,0.240218802
ExampleGeneEnsembl-66,ExGene66,0.159568929,0.228092514,0.737610097,0.534104738,0.572560288,0.903237068,0.084916876,0.937087335,0.201751082,0.865763094,0.709573979,0.419047335
ExampleGeneEnsembl-67,ExGene67,0.836922897,0.208019333,0.570469194,0.251530833,0.711846775,0.063425256,0.199328826,0.563395617,0.453285084,0.857575288,0.531612033,0.46318776
ExampleGeneEnsembl-68,ExGene68,0.733041523,0.25015535,0.090955321,0.162228858,0.395746807,0.743099385,0.560611944,0.017268869,0.742486452,0.957115772,0.543031558,0.5867047
ExampleGeneEnsembl-69,ExGene69,0.173379002,0.275756095,0.224884532,0.674755075,0.499177558,0.423990071,0.355144171,0.021157819,0.49583727,0.212832584,0.611333609,0.02766045
ExampleGeneEnsembl-70,ExGene70,0.85633963,0.459736583,0.431951236,0.983238723,0.879007706,0.879664961,0.334678841,0.170445921,0.926306067,0.271065392,0.071478374,0.42519261
ExampleGeneEnsembl-71,ExGene71,0.519289303,0.779216895,0.539236613,0.224782465,0.796751497,0.283707476,0.07727743,0.693604934,0.215399144,0.852444944,0.539775215,0.330286671
ExampleGeneEnsembl-72,ExGene72,0.600105782,0.417003768,0.747503665,0.390263436,0.452136139,0.241921886,0.395474955,0.273998909,0.23476063,0.668279681,0.365982515,0.236397155
ExampleGeneEnsembl-73,ExGene73,0.74146476,0.226039767,0.833228762,0.170105051,0.647192995,0.142989261,0.126311136,0.356325926,0.101393807,0.146946073,0.519789727,0.346436917
ExampleGeneEnsembl-74,ExGene74,0.350803795,0.745184021,0.571153929,0.530263879,0.705404652,0.542115145,0.778040183,0.903506084,0.658128121,0.592749477,0.208343983,0.377368492
ExampleGeneEnsembl-75,ExGene75,0.792005927,0.418756677,0.689555385,0.328833019,0.515561441,0.147751338,0.3577863,0.711293152,0.020909626,0.423698164,0.163214515,0.196504239
ExampleGeneEnsembl-76,ExGene76,0.208328023,0.961214145,0.885400802,0.843196946,0.31182777,0.837804885,0.824459522,0.465281124,0.722362914,0.387229345,0.415142167,0.138386155
ExampleGeneEnsembl-77,ExGene77,0.384911488,0.668653062,0.36696205,0.22025581,0.671855755,0.598241124,0.197565643,0.932296064,0.887631382,0.064191835,0.048161599,0.206114736
ExampleGeneEnsembl-78,ExGene78,0.750966775,0.609292075,0.350840716,0.05482487,0.505509892,0.607145359,0.1936985,0.006651636,0.433567346,0.689087784,0.903983594,0.219747166
ExampleGeneEnsembl-79,ExGene79,0.061772273,0.32530165,0.795867925,0.373508137,0.974065836,0.018497143,0.941713867,0.532697128,0.597451076,0.671546869,0.903111564,0.826630981
ExampleGeneEnsembl-80,ExGene80,0.471312509,0.713007308,0.032496175,0.493551362,0.101528506,0.179401388,0.074764093,0.266542851,0.344144889,0.433452843,0.715113996,0.413366039
ExampleGeneEnsembl-81,ExGene81,0.010654867,0.363824345,0.01764387,0.969791564,0.078707298,0.17460152,0.955239734,0.591655085,0.984385993,0.665115154,0.269409056,0.464289162
ExampleGeneEnsembl-82,ExGene82,0.623104272,0.497516864,0.51700859,0.513909763,0.954359788,0.080748695,0.275118333,0.611200907,0.064625483,0.142283452,0.369799775,0.343617193
ExampleGeneEnsembl-83,ExGene83,0.238473834,0.045837867,0.968378919,0.356196738,0.772864507,0.983742496,0.738440026,0.178486292,0.822787496,0.270700218,0.692361912,0.343028611
ExampleGeneEnsembl-84,ExGene84,0.030615204,0.178273185,0.141409876,0.758670827,0.755600526,0.027315471,0.911627579,0.539111367,0.261414692,0.882051786,0.571471943,0.923101795
ExampleGeneEnsembl-85,ExGene85,0.702301384,0.447766196,0.976055747,0.404018913,0.906697399,0.137320583,0.480679092,0.468817641,0.313807489,0.072795413,0.058030816,0.400210226
ExampleGeneEnsembl-86,ExGene86,0.603715657,0.437893289,0.46514562,0.714537738,0.293176133,0.014026305,0.816100696,0.707746323,0.385743012,0.834277247,0.663157797,0.902723793
ExampleGeneEnsembl-87,ExGene87,0.748337619,0.118235699,0.931388268,0.285524676,0.817637498,0.932472989,0.991460414,0.179562396,0.99929541,0.629397926,0.190118481,0.15251613
ExampleGeneEnsembl-88,ExGene88,0.059104184,0.147356537,0.566377005,0.641309606,0.92278109,0.788132405,0.415254141,0.780769127,0.424385107,0.025839159,0.558776085,0.72346965
ExampleGeneEnsembl-89,ExGene89,0.7350338,0.982991145,0.89443154,0.544982896,0.165566433,0.414038529,0.6797499,0.854127443,0.73606446,0.556266636,0.332847321,0.817404018
ExampleGeneEnsembl-90,ExGene90,0.781506334,0.315149538,0.221715381,0.863293383,0.82784295,0.919054162,0.060498079,0.744352637,0.770701209,0.139101663,0.280729522,0.936951277
ExampleGeneEnsembl-91,ExGene91,0.880184027,0.468317728,0.558923592,0.768169519,0.731471445,0.136238858,0.56096668,0.052633375,0.689929756,0.215496694,0.852233072,0.013179182
ExampleGeneEnsembl-92,ExGene92,0.775863164,0.159884978,0.044038041,0.033747334,0.780778678,0.391140533,0.990560841,0.432380621,0.671847967,0.977104062,0.016727336,0.431467485
ExampleGeneEnsembl-93,ExGene93,0.409206438,0.320503852,0.215093474,0.866693557,0.851995626,0.578671649,0.033719882,0.105590904,0.505355512,0.562894719,0.945088019,0.758497704
ExampleGeneEnsembl-94,ExGene94,0.733564241,0.759631166,0.323218961,0.747632687,0.662843081,0.797270713,0.383222168,0.902614324,0.985864069,0.728937283,0.993959595,0.790762179
ExampleGeneEnsembl-95,ExGene95,0.74197874,0.56131886,0.2465875,0.586574277,0.795537531,0.629838743,0.612992601,0.790552953,0.667050663,0.044123985,0.558049865,0.283933165
ExampleGeneEnsembl-96,ExGene96,0.531079562,0.111654167,0.100116687,0.116502142,0.862791378,0.392453239,0.402329712,0.155009464,0.940302061,0.04485182,0.526081264,0.935369494
ExampleGeneEnsembl-97,ExGene97,0.726558959,0.099794983,0.75862242,0.749662604,0.413274534,0.566425136,0.357703287,0.098383346,0.994333717,0.129591626,0.266685201,0.010488675
ExampleGeneEnsembl-98,ExGene98,0.92645363,0.632245101,0.891392683,0.989545361,0.650143594,0.883596028,0.194972476,0.487622045,0.143358892,0.28424395,0.772436375,0.470647652
ExampleGeneEnsembl-99,ExGene99,0.694638074,0.307751767,0.121615708,0.303889567,0.811620111,0.493161304,0.473608618,0.549058934,0.092278475,0.103629616,0.544181278,0.692611463
ExampleGeneEnsembl-100,ExGene100,0.204796641,0.549118379,0.170461824,0.124941625,0.97689518,0.096445093,0.034779292,0.916203246,0.906739239,0.603960762,0.978569468,0.359508052
ExampleGeneEnsembl-101,ExGene101,0.682964685,0.716145608,0.668256517,0.107045966,0.080135531,0.401422846,0.463870529,0.450345641,0.79128644,0.935003363,0.958967009,0.498287756
ExampleGeneEnsembl-102,ExGene102,0.22969985,0.218112971,0.348528548,0.832181856,0.111417766,0.649189121,0.765283103,0.761051685,0.252001817,0.568751774,0.999026149,0.453399469
ExampleGeneEnsembl-103,ExGene103,0.041951505,0.29356239,0.095907799,0.073163269,0.342167813,0.85042829,0.558158497,0.00083533,0.632750894,0.064694118,0.859497634,0.215925579
ExampleGeneEnsembl-104,ExGene104,0.158018604,0.773827318,0.454854782,0.653436525,0.402117692,0.458300134,0.883965232,0.299696927,0.700354953,0.203569889,0.811216753,0.683403958
ExampleGeneEnsembl-105,ExGene105,0.146454157,0.008113559,0.131388997,0.372795044,0.223080216,0.885229041,0.959758502,0.749263196,0.119478961,0.471421478,0.835586782,0.393847971
ExampleGeneEnsembl-106,ExGene106,0.867891859,0.895054521,0.325202788,0.816942698,0.967244677,0.750485721,0.87425039,0.158212499,0.788490618,0.865916386,0.539468448,0.888810506
ExampleGeneEnsembl-107,ExGene107,0.386278631,0.614052055,0.736165851,0.730834448,0.578547381,0.171847399,0.592669002,0.396728841,0.512483889,0.575233898,0.88976494,0.834360081
ExampleGeneEnsembl-108,ExGene108,0.656398434,0.147415867,0.806409361,0.395311449,0.508505592,0.052563034,0.229465611,0.119103765,0.537144854,0.141251424,0.686862862,0.16616651
ExampleGeneEnsembl-109,ExGene109,0.42308779,0.543931862,0.124994899,0.938374315,0.157464567,0.83495035,0.157848945,0.905670178,0.746732119,0.904800529,0.916855823,0.005091333
ExampleGeneEnsembl-110,ExGene110,0.89280601,0.132971793,0.054256273,0.810085618,0.385896402,0.213811721,0.837617825,0.093079264,0.811449658,0.945967571,0.229124085,0.016124429
ExampleGeneEnsembl-111,ExGene111,0.509854775,0.250830814,0.6065424,0.579006453,0.540084672,0.180983144,0.547879657,0.895667799,0.450332267,0.183815551,0.684362947,0.801496869
ExampleGeneEnsembl-112,ExGene112,0.960320869,0.804014188,0.727199317,0.370198542,0.991470452,0.407191791,0.470263537,0.921864682,0.973275064,0.105686363,0.735578285,0.818715472
ExampleGeneEnsembl-113,ExGene113,0.344235668,0.03141775,0.212773143,0.088327087,0.237982273,0.634185716,0.356219678,0.542234369,0.477116959,0.365081725,0.679484041,0.15021498
ExampleGeneEnsembl-114,ExGene114,0.242154904,0.270690754,0.760363488,0.765122359,0.746697765,0.191712525,0.619172271,0.328676676,0.48082132,0.304181738,0.281016312,0.41586312
ExampleGeneEnsembl-115,ExGene115,0.571547315,0.931948934,0.329303624,0.755768245,0.534539073,0.77112314,0.565889451,0.190073709,0.932977066,0.855708048,0.74968391,0.706595319
ExampleGeneEnsembl-116,ExGene116,0.295833666,0.681718536,0.79967986,0.977227243,0.170609073,0.401587772,0.336721843,0.716405616,0.832049867,0.323464761,0.090314339,0.912289545
ExampleGeneEnsembl-117,ExGene117,0.749302594,0.430442705,0.179346464,0.888529602,0.212491107,0.783097466,0.289421915,0.374444863,0.840067664,0.525723916,0.928346567,0.381650448
ExampleGeneEnsembl-118,ExGene118,0.880435517,0.416403647,0.868069598,0.94018635,0.689881185,0.139103952,0.646896539,0.04377747,0.140992674,0.649614709,0.077035882,0.697122187
ExampleGeneEnsembl-119,ExGene119,0.197634158,0.112511881,0.28091373,0.714083083,0.836529955,0.899725634,0.519102812,0.246809038,0.660744684,0.383615741,0.107442232,0.895738568
ExampleGeneEnsembl-120,ExGene120,0.056885544,0.210247109,0.71382267,0.860728051,0.688279704,0.596003538,0.893379616,0.919866974,0.960435338,0.894459882,0.673376546,0.051880718
ExampleGeneEnsembl-121,ExGene121,0.54546133,0.453858734,0.194514616,0.798240196,0.165412487,0.73291483,0.368387763,0.57790726,0.757989408,0.531950455,0.701862276,0.691280902
ExampleGeneEnsembl-122,ExGene122,0.748600794,0.086573075,0.695821088,0.395213003,0.974065295,0.054690761,0.837971231,0.477740712,0.613329254,0.75408196,0.720155378,0.052401533
ExampleGeneEnsembl-123,ExGene123,0.111132064,0.491430033,0.869016163,0.287111336,0.226361618,0.312675399,0.330879819,0.64785522,0.551214792,0.731656354,0.55925404,0.981556648
ExampleGeneEnsembl-124,ExGene124,0.429602325,0.773983525,0.167279548,0.335966914,0.768379778,0.739412537,0.583945332,0.350960492,0.276901671,0.708837215,0.929905182,0.282999977
ExampleGeneEnsembl-125,ExGene125,0.376787768,0.327105592,0.75427312,0.081697066,0.639681819,0.707531694,0.351431727,0.859041939,0.605488203,0.613200617,0.231470284,0.908831276
ExampleGeneEnsembl-126,ExGene126,0.390078548,0.347271074,0.324384429,0.147986454,0.370262845,0.041823706,0.452391642,0.804392125,0.64776753,0.945765515,0.326444505,0.610695177
ExampleGeneEnsembl-127,ExGene127,0.800486249,0.348632277,0.856457569,0.664416555,0.262425523,0.348658737,0.058047345,0.220035196,0.887241871,0.605948829,0.216871072,0.490117675
ExampleGeneEnsembl-128,ExGene128,0.719080489,0.026960144,0.644231128,0.753608397,0.550423892,0.960729954,0.17259555,0.903905553,0.662949937,0.848051046,0.099473799,0.116890938
ExampleGeneEnsembl-129,ExGene129,0.56291853,0.375671879,0.913106548,0.657153253,0.188860787,0.798435869,0.696036762,0.314821035,0.026100622,0.17280634,0.739698867,0.835300907
ExampleGeneEnsembl-130,ExGene130,0.812584762,0.911442348,0.331154889,0.550212794,0.26885714,0.713557579,0.464422105,0.56648375,0.723948515,0.088510738,0.21596984,0.331855238
ExampleGeneEnsembl-131,ExGene131,0.209209087,0.453952822,0.657964138,0.169701846,0.076460153,0.769274874,0.382786818,0.247377111,0.225591768,0.385144444,0.073898147,0.613387336
ExampleGeneEnsembl-132,ExGene132,0.680099574,0.216930353,0.855620776,0.817666363,0.937763656,0.556068351,0.333487304,0.991729469,0.644270193,0.253557445,0.161739201,0.220461547
ExampleGeneEnsembl-133,ExGene133,0.482584841,0.019032297,0.988190187,0.639965274,0.174374864,0.103023289,0.063059966,0.919369041,0.258962715,0.344968747,0.1745274,0.78394543
ExampleGeneEnsembl-134,ExGene134,0.347742297,0.68566422,0.928013569,0.817538769,0.083441078,0.197518295,0.226653399,0.485959635,0.27736709,0.647594711,0.030323813,0.935765356
ExampleGeneEnsembl-135,ExGene135,0.733632666,0.11205543,0.455686737,0.956717846,0.116724189,0.988634406,0.541243648,0.742757172,0.78280794,0.061385453,0.94263397,0.48380174
ExampleGeneEnsembl-136,ExGene136,0.993571359,0.835856367,0.109036973,0.145209658,0.240962301,0.866928991,0.5504242,0.313752645,0.937052831,0.740182299,0.561187888,0.148002886
ExampleGeneEnsembl-137,ExGene137,0.91758969,0.089471236,0.974692146,0.575374136,0.52387251,0.718931929,0.603309696,0.759479807,0.517586601,0.975231541,0.619896239,0.826568827
ExampleGeneEnsembl-138,ExGene138,0.258902118,0.012935805,0.540755137,0.034431766,0.593260245,0.170684176,0.967988027,0.644070486,0.034760925,0.103003565,0.763888336,0.024258089
ExampleGeneEnsembl-139,ExGene139,0.794207906,0.866859498,0.427437433,0.130394855,0.389060665,0.547530093,0.235075172,0.920092616,0.814834287,0.832168003,0.820975571,0.688060068
ExampleGeneEnsembl-140,ExGene140,0.08177725,0.380082983,0.278657445,0.125016892,0.883603909,0.33247593,0.499390457,0.247615162,0.479502528,0.365098044,0.380315696,0.264834612
ExampleGeneEnsembl-141,ExGene141,0.349646888,0.187135829,0.1360935,0.575330676,0.371205306,0.140163249,0.791059019,0.532936371,0.172339091,0.525656422,0.507548679,0.662311418
ExampleGeneEnsembl-142,ExGene142,0.294339417,0.119974067,0.380971888,0.346527265,0.113539091,0.776110048,0.504674899,0.402170513,0.634968537,0.545923312,0.124714612,0.74321087
ExampleGeneEnsembl-143,ExGene143,0.103932845,0.412837251,0.531851755,0.676200361,0.031026294,0.104916916,0.036488289,0.774426915,0.733085083,0.448913099,0.366864163,0.431613636
ExampleGeneEnsembl-144,ExGene144,0.605258274,0.331376491,0.506024491,0.262762792,0.729395019,0.633934987,0.047675278,0.361604898,0.861952851,0.926142537,0.536860916,0.157176141
ExampleGeneEnsembl-145,ExGene145,0.892993316,0.64305768,0.323478702,0.848994676,0.371375131,0.766754305,0.959996732,0.954052275,0.333151569,0.682554517,0.785273389,0.701401387
ExampleGeneEnsembl-146,ExGene146,0.743237434,0.526180536,0.520238936,0.512900764,0.862950421,0.277786399,0.067329222,0.759509553,0.696340697,0.626257011,0.013529395,0.887060492
